,0,1
998,ITGB7,3
999,DHRS9,3
1000,AIM2,2
1001,EMB,3
1002,LILRB1,2
1003,MMP7,2
1004,LPL,2
1005,PRKCB,2
1006,ACAP1,2
1007,CADM1,4
1008,PTPN7,2
1009,FCGR2B,2
1010,BASP1,2
1011,CD19,2
1012,VDR,2
1013,CCDC144A,2
1014,MTRNR2L1,2
1015,GTF2IRD2,2
1016,TSPAN13,3
1017,COL21A1,2
1018,PRPS2,2
1019,GNG2,2
1020,ST3GAL2,3
1021,IGHG3,2
1022,KIF1BP,2
1023,IGLC2,2
1024,IGHG4,2
1025,SCD5,2
1026,HAAO,2
1027,RPRD2,2
1028,PLXNC1,3
1029,DMXL2,2
1030,PARP10,3
1031,OXCT1,2
1032,SYT11,3
1033,CCL13,2
1034,SLC23A2,2
1035,FAM111A,2
1036,ARID2,2
1037,IGHG1,2
1038,MAPK9,2
1039,PLEKHH3,2
1040,ECM1,3
1041,EIF4E3,2
1042,RFX7,2
1043,PPP2R5D,2
1044,TRIM13,2
1045,KIAA0586,2
1046,HSD11B1,3
1047,PRR5L,2
1048,NCAM2,2
1049,KIF11,2
1050,CEP55,2
1051,CENPU,3
1052,RRM2,2
1053,CENPF,2
1054,CENPE,2
1055,CDKN3,2
1056,CCNA2,2
1057,CHEK1,2
1058,MSH2,3
1059,PRR11,2
1060,NUSAP1,2
1061,BIRC5,2
1062,SRGAP2C,2
1063,DLGAP5,2
1064,GTSE1,2
1065,HMMR,2
1066,SPDL1,2
1067,AURKA,3
1068,SLC16A1,2
1069,UBE2C,2
1070,CCNB1,2
1071,SHCBP1,2
1072,NCAPH,2
1073,WEE1,3
1074,CDK1,2
1075,ASPM,2
1076,LMNB1,2
1077,TPX2,2
1078,MKI67,3
1079,RAD51AP1,2
1080,CLSPN,3
1081,SSBP3,2
1082,CCR5,2
1083,CD226,2
1084,CCND2,2
1085,CCND1,2
1086,RASGRP3,3
1087,NFKB2,2
1088,CYP2S1,2
1089,IGFBP7,2
1090,PTGS1,2
1091,PLXNA1,2
1092,KLRB1,2
1093,MARCKSL1,2
1094,ANKH,2
1095,GALM,2
1096,DUSP4,2
1097,SUCNR1,2
1098,ARHGAP22,2
1099,CCL7,2
1100,GAS6,2
1101,IGLV2-14,2
1102,IFIH1,3
1103,CCL4L2,2
1104,GCH1,2
1105,HTRA1,2
1106,SPHK1,2
1107,PMAIP1,2
1108,PALLD,2
1109,IGHA1,2
1110,GPR84,2
1111,MMP1,2
1112,IL4I1,2
1113,MATK,2
1114,ENPP2,2
1115,PCSK6,2
1116,FLT1,2
1117,TBL2,2
1118,ASAP2,2
1119,MMP12,2
1120,STT3A,2
1121,LINC01010,2
1122,FSCN1,2
1123,IL21R,3
1124,IL32,3
1125,SLC7A11,2
1126,CXCL9,2
1127,HYOU1,2
1128,TAP2,2
1129,MYO1E,2
1130,HLA-DOB,3
1131,FBXO22,2
1132,BRCA1,2
1133,CD40,2
1134,TCF3,2
1135,AHI1,2
1136,CNP,2
1137,ABI2,2
1138,MCM2,2
1139,NET1,2
1140,IFIT1,2
1141,MTHFS,2
1142,TCAF1,2
1143,RGS16,2
1144,TOB2,2
1145,MMP19,2
1146,MYEF2,2
1147,STAU2,2
1148,MIR155HG,2
1149,STAMBPL1,2
1150,ARHGAP11B,2
1151,EYA3,2
1152,GOT2,2
1153,NBN,2
1154,SPIB,2
1155,CXCL13,2
1156,PFKP,2
1157,SMAD7,2
1158,RMI1,2
1159,S1PR2,2
1160,UHRF1,2
1161,KIFC1,2
1162,XPNPEP1,2
1163,LIMA1,2
1164,IFIT3,2
1165,ZWINT,2
1166,SQLE,2
1167,SPP1,2
1168,MARCKS,2
1169,TRAFD1,2
1170,SLC26A2,2
1171,MFSD6,2
